epoch,loss,train accuracy,test accuracy
0,0.015900422504990165,0.5155658143939394,48.4375
1,0.012114015088600077,0.6347064393939394,40.24038461538461
2,0.01071432189465585,0.6867897727272727,48.02884615384615
3,0.009603284516329453,0.7194602272727273,72.3076923076923
4,0.008866571620191362,0.7426609848484849,48.79807692307692
5,0.008339907026807354,0.7617779356060606,16.39423076923077
6,0.007869784721123957,0.7775213068181818,16.153846153846153
7,0.00748006964832629,0.7922585227272727,16.490384615384617
8,0.007067790369601977,0.8022017045454546,83.91826923076923
9,0.006876879474007044,0.8078835227272727,57.45192307692308
