epoch,loss,train accuracy,test accuracy
0,0.01636948907451535,0.5186434659090909,61.46634615384615
1,0.011941410773998183,0.6351207386363636,48.48557692307692
2,0.010411139036119548,0.6944839015151515,66.94711538461539
3,0.00945336927278814,0.7318892045454546,56.44230769230769
4,0.008828153615027215,0.74609375,65.8173076923077
5,0.008444417265391994,0.7639086174242424,74.35096153846153
6,0.007854740590449761,0.7776988636363636,67.57211538461539
7,0.0074521507379937575,0.7943892045454546,76.17788461538461
8,0.007152432182479199,0.7974076704545454,63.53365384615385
9,0.0069613390977875415,0.806640625,80.76923076923077
