epoch,loss,train accuracy,test accuracy
0,0.013598847538091693,0.5994318181818182,74.8076923076923
1,0.00971968980527229,0.7221827651515151,78.2451923076923
2,0.008558800735045224,0.7617779356060606,64.27884615384616
3,0.007459591182520275,0.80078125,61.73076923076923
4,0.006698284384611091,0.8164654356060606,34.63942307692308
5,0.00611427157436441,0.8396070075757576,78.10096153846153
6,0.005620277123384629,0.8460582386363636,83.99038461538461
7,0.005390375040323389,0.8565340909090909,63.77403846153846
8,0.005009603654440126,0.8642282196969697,18.245192307692307
9,0.0046489760165004,0.8745265151515151,88.8701923076923
