epoch,loss,train accuracy,test accuracy
0,0.011836803994480182,0.6420454545454546,73.14903846153847
1,0.008881524630300137,0.7423058712121212,78.02884615384616
2,0.007613849072985238,0.7821969696969697,65.24038461538461
3,0.006724232099562262,0.8103693181818182,74.92788461538461
4,0.005985068802009196,0.8319720643939394,83.91826923076923
5,0.005299802361564202,0.8491950757575758,83.41346153846153
6,0.0047436563807864195,0.8645241477272727,84.1826923076923
7,0.004139525986498815,0.8852982954545454,77.6201923076923
8,0.003665971206800984,0.8939393939393939,85.60096153846153
9,0.0032148340914952287,0.91015625,75.625
