epoch,loss,train accuracy,test accuracy
0,0.010682393585077742,0.6860795454545454,78.58173076923077
1,0.008105221977034076,0.765920928030303,71.15384615384616
2,0.007201969785841577,0.7904829545454546,79.8076923076923
3,0.00660895075380915,0.8068181818181818,75.0
4,0.006073448592691089,0.8209043560606061,80.09615384615384
5,0.005812327336929174,0.8325639204545454,83.91826923076923
6,0.005401923176550278,0.8427438446969697,83.82211538461539
7,0.005164120752879447,0.8525686553030303,82.40384615384616
8,0.004949025785952637,0.857717803030303,84.01442307692308
9,0.004783359929922771,0.86328125,83.38942307692308
