epoch,loss,train accuracy,test accuracy
0,0.011666097344872966,0.6566642992424242,74.61538461538461
1,0.008725460362973425,0.7489938446969697,81.875
2,0.007430856595888283,0.7877012310606061,80.76923076923077
3,0.006544521677300729,0.8136245265151515,63.84615384615385
4,0.005789668168731485,0.8372987689393939,82.01923076923077
5,0.005136745701416989,0.8552320075757576,83.67788461538461
6,0.00460230119730995,0.8662997159090909,83.79807692307692
7,0.004073400232080145,0.8841145833333334,83.65384615384616
8,0.003673740020145267,0.8938802083333334,77.42788461538461
9,0.0032535601419636587,0.9041785037878788,70.67307692307692
