epoch,loss,train accuracy,test accuracy
0,0.016079981253962174,0.5140861742424242,48.53365384615385
1,0.012158892815932631,0.6401515151515151,43.65384615384615
2,0.010771338422218281,0.6901041666666666,37.47596153846154
3,0.009862014284766647,0.7177438446969697,72.78846153846153
4,0.009009205933773157,0.7415364583333334,49.80769230769231
5,0.008572288661856543,0.7563328598484849,48.4375
6,0.00810528917160506,0.7684067234848485,76.49038461538461
7,0.007581694323259096,0.7850970643939394,76.70673076923077
8,0.007209304841870273,0.7937381628787878,79.85576923076923
9,0.006993831427252823,0.8052793560606061,76.63461538461539
