epoch,loss,train accuracy,test accuracy
0,0.011812114045658911,0.6489109848484849,75.79326923076923
1,0.008833559960211542,0.7455610795454546,78.96634615384616
2,0.007417944598604332,0.7872869318181818,62.35576923076923
3,0.006468821533031367,0.8171164772727273,79.95192307692308
4,0.0058662130957765676,0.8374763257575758,77.47596153846153
5,0.005212148153628787,0.8529237689393939,81.10576923076923
6,0.004669682713221956,0.8696141098484849,83.65384615384616
7,0.004180205702361876,0.8816287878787878,76.77884615384616
8,0.0037255844790982364,0.8934659090909091,84.11057692307692
9,0.003288051580911446,0.9057765151515151,85.16826923076923
