epoch,loss,train accuracy,test accuracy
0,0.011444170151442064,0.6638257575757576,69.42307692307692
1,0.008612289712552658,0.7501775568181818,76.32211538461539
2,0.007392477138306607,0.787405303030303,80.38461538461539
3,0.0065126951526370686,0.8123816287878788,80.69711538461539
4,0.005887730825854691,0.8322088068181818,82.78846153846153
5,0.00518838983164945,0.8515033143939394,81.80288461538461
6,0.004507849051151425,0.8710345643939394,84.39903846153847
7,0.0040697519139168,0.8864820075757576,81.58653846153847
8,0.003567312007582972,0.8969578598484849,84.63942307692308
9,0.003310386033483541,0.9050071022727273,77.33173076923077
