epoch,loss,train accuracy,test accuracy
0,0.01389247073552035,0.6004379734848485,26.947115384615383
1,0.009883437325091412,0.7221827651515151,71.875
2,0.008486319990355916,0.7630800189393939,73.34134615384616
3,0.007684739757237505,0.7885890151515151,76.0576923076923
4,0.007085779978131706,0.8060487689393939,76.73076923076923
5,0.0067433023985799855,0.8140980113636364,17.83653846153846
6,0.00630561653595192,0.824514678030303,46.22596153846154
7,0.005977635446470231,0.8377722537878788,77.40384615384616
8,0.005584688370370052,0.84375,84.73557692307692
9,0.005283746349794621,0.8528053977272727,72.0673076923077
