episode	win_rate	score
307000		97.7	120850
308000		98.1	123163
309000		97.6	121835
310000		97.1	122106
311000		96.8	121316
312000		98.5	123907
313000		97.7	121665
314000		97.8	122420
315000		97.7	125888
316000		97.4	121868
317000		98	123143
318000		97.5	121817
319000		97.7	121444
320000		97.1	122190
321000		98	122804
322000		97.7	122942
323000		97.4	125187
324000		97.6	122924
325000		97.7	122519
326000		97.2	121107
327000		98	122884
328000		97.5	122978
329000		97.6	123070
330000		96.9	122447
331000		97	121344
332000		97.2	121662
333000		97.3	122293
334000		98	120784
335000		97.4	122280
336000		97.6	124097
337000		98	122960
338000		97.5	123813
339000		97	120350
340000		98	123120
341000		98.5	122576
342000		97.7	123559
343000		97	124802
344000		97.4	121718
345000		98.4	123460
346000		98.4	122519
347000		96.8	120992
348000		97.8	121572
349000		97.6	123329
350000		97.7	121787
351000		98	122789
352000		97.9	122950
353000		97.3	123078
354000		97.3	124446
355000		98.1	121825
356000		97.7	123656
357000		97.8	122829
358000		97.5	122947
359000		98.3	125504
360000		97	121547
361000		98.4	124319
362000		97.2	122100
363000		98.7	124064
364000		97	122406
365000		97.1	125526
366000		97.8	123853
367000		98.3	125138
368000		97.4	123460
369000		97.9	122792
370000		98	122738
371000		97.8	121891
372000		96.7	125478
373000		97.8	122871
374000		97.3	122956
375000		98.6	123121
376000		97.4	120120
377000		97.3	122880
378000		97.8	124820
379000		97.5	123114
380000		97.4	122435
381000		97.8	122438
382000		98.4	123796
383000		98.2	123324
384000		98.1	126727
385000		97.4	124113
386000		96.2	120826
387000		98.3	124663
388000		97.1	120733
389000		97.7	122769
390000		97.8	124544
391000		97.7	121408
392000		98.1	125872
393000		98.1	124285
394000		98.2	125463
395000		97.9	122146
396000		97	122834
397000		98.1	124840
398000		97.4	123778
399000		97.1	122371
400000		96.1	119712
401000		97.6	121665
402000		98.1	123126
403000		97.8	122501
404000		97.4	124990
405000		98	122511
406000		97.3	124885
407000		97.4	123085
408000		97.1	123236
409000		96.9	124423
410000		97.3	122369
411000		97.1	124230
412000		97.4	124386
413000		97.2	122576
414000		97.2	119901
415000		98.4	126664
416000		97.7	124489
417000		98.2	123750
418000		97.5	122895
419000		98.2	124059
420000		97.7	123536
421000		97.9	124988
422000		97.6	122169
423000		97.4	122433
424000		98.3	123320
425000		97.1	121627
426000		97.1	123664
427000		98.1	123332
428000		97.6	123578
429000		97	123561
430000		97	122921
431000		97.8	120926
432000		97.7	122768
433000		97.3	123476
434000		97.4	125416
435000		98.2	122925
436000		96.6	122622
437000		97.2	123337
438000		97.7	124866
439000		97.3	122132
440000		97.1	121381
441000		98.1	122214
442000		98.2	122204
443000		96.8	122538
444000		97.4	122222
445000		97.8	123535
446000		98.3	123347
447000		96.4	123071
448000		97	122678
449000		97.4	121666
450000		97.7	124645
451000		97.4	123901
452000		97.9	123993
453000		98.1	123700
454000		96.8	120026
455000		98	123250
456000		98.1	124345
457000		98.2	124400
458000		98.1	123214
459000		98	123579
460000		97.6	123007
461000		97.8	124765
462000		97.7	122889
463000		98.8	127270
464000		98.2	126516
465000		97.8	123109
466000		97.2	121697
467000		98.2	123570
468000		97.7	126315
469000		97.3	122291
470000		98	125063
471000		97.1	122981
472000		98	123547
473000		97.5	125868
474000		98	124945
475000		98.3	124148
476000		98.6	125288
477000		97.4	124325
478000		97.8	124862
479000		97.4	124227
480000		98.1	123190
481000		98	123062
482000		97.6	125210
483000		97.4	124404
484000		97.6	123093
485000		98.7	123939
486000		97.5	124828
487000		97.7	122769
