epoch,generator loss,discriminator loss,train score,test score,new test score
0,-78.488365,-28.575827,0.09887381198580576,0.16666666666666666,0.13095238095238096
1,-65.98665,-30.255102,0.09717570750962175,0.1111111111111111,0.10714285714285714
2,-88.519646,-33.53771,0.10585824768230288,0.20833333333333334,0.20238095238095238
3,-66.6091,-30.106293,0.13813626704274717,0.06944444444444445,0.23809523809523808
4,-56.35623,-42.9412,0.15012331569197182,0.19444444444444445,0.19047619047619047
5,2.12082,-49.28963,0.15171282266103575,0.1527777777777778,0.16666666666666666
6,73.030624,-44.30775,0.15141576519059957,0.2222222222222222,0.19047619047619047
7,0.3168488,-29.423483,0.1734119034896409,0.19444444444444445,0.16666666666666666
8,-59.8786,-26.450094,0.17234361683554134,0.125,0.23809523809523808
9,-77.794266,-25.948,0.17943999044206976,0.20833333333333334,0.20238095238095238
10,-42.484406,-25.21598,0.18798813432576847,0.1527777777777778,0.20238095238095238
11,-30.379377,-23.6336,0.2087272378201408,0.2222222222222222,0.34523809523809523
12,-35.14277,-19.888554,0.2389947689804791,0.3055555555555556,0.32142857142857145
13,-14.044997,-18.486584,0.25987847305839107,0.3055555555555556,0.34523809523809523
14,28.707508,-18.821064,0.2703270824952127,0.2916666666666667,0.38095238095238093
15,25.838985,-18.62496,0.2854872564245594,0.2638888888888889,0.36904761904761907
16,3.6688836,-18.483192,0.29372854149155714,0.25,0.32142857142857145
17,-38.05681,-18.047451,0.30471468914762345,0.2916666666666667,0.39285714285714285
18,-17.923487,-18.181263,0.31032760163639567,0.3194444444444444,0.32142857142857145
19,-5.886166,-17.280184,0.3169310918134488,0.375,0.35714285714285715
20,-1.8718456,-17.82683,0.33416376094708017,0.3472222222222222,0.42857142857142855
21,5.262714,-17.58151,0.34303484512011745,0.3333333333333333,0.38095238095238093
22,25.427193,-16.459429,0.3536272101392815,0.375,0.35714285714285715
23,34.12397,-16.188517,0.36518073579426863,0.2777777777777778,0.44047619047619047
24,64.693115,-15.977467,0.37332845044031354,0.3472222222222222,0.4642857142857143
25,42.9747,-16.35837,0.37653722526758543,0.2777777777777778,0.40476190476190477
26,22.591103,-15.541474,0.38610375970347716,0.3055555555555556,0.39285714285714285
27,37.598328,-16.13969,0.3849376637553139,0.3055555555555556,0.4523809523809524
28,49.89794,-16.341345,0.3905052530452731,0.3055555555555556,0.42857142857142855
29,71.93607,-16.00354,0.3888277622789165,0.4166666666666667,0.47619047619047616
30,69.43736,-15.510497,0.3986241274029786,0.3055555555555556,0.39285714285714285
31,67.955025,-15.405226,0.398836028916851,0.2916666666666667,0.36904761904761907
32,59.885643,-15.443673,0.4022396074372822,0.4027777777777778,0.42857142857142855
33,62.32442,-15.240813,0.4019430263866326,0.3333333333333333,0.44047619047619047
34,42.816532,-15.4026165,0.40310700039601816,0.4027777777777778,0.4523809523809524
35,68.63114,-15.366916,0.40349309105018466,0.3472222222222222,0.47619047619047616
36,71.26593,-15.285366,0.4117155850631909,0.375,0.5119047619047619
